Node;Category;Type;IsMandatory;PossibleValues;Reference
/;Group;;TRUE;;OPERA_ODIM_v2.3.pdf,Section 4.1
/Conventions;Attribute;string;TRUE;ODIM_H5/V2_3;OPERA_ODIM_v2.3.pdf,Section 4.1
/what;Group;;TRUE;;OPERA_ODIM_v2.3.pdf,Section 4.2
/what/object;Attribute;string;TRUE;PVOL;OPERA_ODIM_v2.3.pdf,Section 4.2
/what/version;Attribute;string;TRUE;H5rad 2.3;OPERA_ODIM_v2.3.pdf,Section 4.2
/what/date;Attribute;string;TRUE;[1-2][0-9]{3}[0-1][0-9][0-3][0-9];OPERA_ODIM_v2.3.pdf,Section 4.2
/what/time;Attribute;string;TRUE;[0-2][0-9][0-5][0-9][0-5][0-9];OPERA_ODIM_v2.3.pdf,Section 4.2
/what/source;Attribute;string;TRUE;(WIGOS:.*)|(WMO:.*)|(RAD:.*)|(PLC:.*)|(NOD:.*)|(ORG:.*)|(CTY:.*)|(CMT:.*);OPERA_ODIM_v2.3.pdf,Section 4.2
/where;Group;;TRUE;;OPERA_ODIM_v2.3.pdf,Section 4.3.1
/where/lon;Attribute;real;TRUE;>=-180.0&&<=180.0;OPERA_ODIM_v2.3.pdf,Section 4.3.1
/where/lat;Attribute;real;TRUE;>=-90.0&&<=90.0;OPERA_ODIM_v2.3.pdf,Section 4.3.1
/where/height;Attribute;real;TRUE;;OPERA_ODIM_v2.3.pdf,Section 4.3.1
.*how;Group;;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/task;Attribute;string;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/task_args;Attribute;string;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/extensions;Attribute;string;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/data_origin;Attribute;string;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/startepochs;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/endepochs;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/system;Attribute;string;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/TXtype;Attribute;string;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/poltype;Attribute;string;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/polmode;Attribute;string;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/software;Attribute;string;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/sw_version;Attribute;string;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/zr_a;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/zr_b;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/zr_a_A;Attribute;real array;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/zr_b_A;Attribute;real array;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/kr_a;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/kr_b;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/kr_a_A;Attribute;real array;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/kr_b_A;Attribute;real array;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/simulated;Attribute;string;FALSE;(True)?(False)?;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/beamwidth;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/wavelength;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/rpm;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/elevspeed;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/antspeed;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/pulsewidth;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/RXbandwidth;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/lowprf;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/midprf;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/highprf;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/TXlossH;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/TXlossV;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/injectlossH;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/injectlossV;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/RXlossH;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/RXlossV;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/radomelossH;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/radomelossV;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/antgainH;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/antgainV;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/beamwH;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/beamwV;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/gasattn;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/radconstH;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/radconstV;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
.*how/nomTXpower;Attribute;real;FALSE;;OPERA_ODIM_v2.3.pdf,Section 4.4
