Node;Category;Type;IsMandatory;PossibleValues;Reference
/;Group;;TRUE;;
/Conventions;Attribute;string;TRUE;ODIM_H5/V2_3;
/what;Group;;TRUE;;
/what/object;Attribute;string;TRUE;SCAN;
/what/version;Attribute;string;TRUE;H5rad 2.3;
/what/date;Attribute;string;TRUE;[1-2][0-9]{3}[0-1][0-9][0-3][0-9];
/what/time;Attribute;string;TRUE;[0-2][0-9][0-5][0-9][0-5][0-9];
/what/source;Attribute;string;TRUE;(WIGOS:.*)|(WMO:.*)|(RAD:.*)|(PLC:.*)|(NOD:.*)|(ORG:.*)|(CTY:.*)|(CMT:.*);
/where;Group;;TRUE;;
/where/lon;Attribute;real;TRUE;;
/where/lat;Attribute;real;TRUE;;
/where/height;Attribute;real;TRUE;;
.*how;Group;;FALSE;;
.*how/task;Attribute;string;FALSE;;
.*how/task_args;Attribute;string;FALSE;;
.*how/extensions;Attribute;string;FALSE;;
.*how/data_origin;Attribute;string;FALSE;;
.*how/startepochs;Attribute;real;FALSE;;
.*how/endepochs;Attribute;real;FALSE;;
.*how/system;Attribute;string;FALSE;;
.*how/TXtype;Attribute;string;FALSE;;
.*how/poltype;Attribute;string;FALSE;;
.*how/polmode;Attribute;string;FALSE;;
.*how/software;Attribute;string;FALSE;;
.*how/sw_version;Attribute;string;FALSE;;
.*how/zr_a;Attribute;real;FALSE;;
.*how/zr_b;Attribute;real;FALSE;;
.*how/zr_a_A;Attribute;real array;FALSE;;
.*how/zr_b_A;Attribute;real array;FALSE;;
.*how/kr_a;Attribute;real;FALSE;;
.*how/kr_b;Attribute;real;FALSE;;
.*how/kr_a_A;Attribute;real array;FALSE;;
.*how/kr_b_A;Attribute;real array;FALSE;;
.*how/simulated;Attribute;string;FALSE;(True)?(False)?;
.*how/beamwidth;Attribute;real;FALSE;;
.*how/wavelength;Attribute;real;FALSE;;
.*how/rpm;Attribute;real;FALSE;;
.*how/elevspeed;Attribute;real;FALSE;;
.*how/antspeed;Attribute;real;FALSE;;
.*how/pulsewidth;Attribute;real;FALSE;;
.*how/RXbandwidth;Attribute;real;FALSE;;
.*how/lowprf;Attribute;real;FALSE;;
.*how/midprf;Attribute;real;FALSE;;
.*how/highprf;Attribute;real;FALSE;;
.*how/TXlossH;Attribute;real;FALSE;;
.*how/TXlossV;Attribute;real;FALSE;;
.*how/injectlossH;Attribute;real;FALSE;;
.*how/injectlossV;Attribute;real;FALSE;;
.*how/RXlossH;Attribute;real;FALSE;;
.*how/RXlossV;Attribute;real;FALSE;;
.*how/radomelossH;Attribute;real;FALSE;;
.*how/radomelossV;Attribute;real;FALSE;;
.*how/antgainH;Attribute;real;FALSE;;
.*how/antgainV;Attribute;real;FALSE;;
.*how/beamwH;Attribute;real;FALSE;;
