Node;Category;Type;IsMandatory;PossibleValues;Reference
/;Group;;TRUE;;OPERA_ODIM_v2.4.pdf,Section 4.1
/Conventions;Attribute;string;TRUE;ODIM_H5/V2_4;OPERA_ODIM_v2.4.pdf,Section 4.1
/what;Group;;TRUE;;OPERA_ODIM_v2.4.pdf,Section 4.2
/what/object;Attribute;string;TRUE;COMP;OPERA_ODIM_v2.4.pdf,Section 4.2
/what/version;Attribute;string;TRUE;H5rad 2.4;OPERA_ODIM_v2.4.pdf,Section 4.2
/what/date;Attribute;string;TRUE;[1-2][0-9]{3}[0-1][0-9][0-3][0-9];OPERA_ODIM_v2.4.pdf,Section 4.2
/what/time;Attribute;string;TRUE;[0-2][0-9][0-5][0-9][0-5][0-9];OPERA_ODIM_v2.4.pdf,Section 4.2
/what/source;Attribute;string;TRUE;ORG:.*;OPERA_ODIM_v2.4.pdf,Section 4.2
/where;Group;;TRUE;;OPERA_ODIM_v2.4.pdf,Section 4.3.1
/where/projdef;Attribute;string;TRUE;\+proj=.*;OPERA_ODIM_v2.4.pdf,Section 4.3.2
/where/xsize;Attribute;integer;TRUE;;OPERA_ODIM_v2.4.pdf,Section 4.3.2
/where/ysize;Attribute;integer;TRUE;;OPERA_ODIM_v2.4.pdf,Section 4.3.2
/where/xscale;Attribute;real;TRUE;;OPERA_ODIM_v2.4.pdf,Section 4.3.2
/where/xscale;Attribute;real;TRUE;;OPERA_ODIM_v2.4.pdf,Section 4.3.2
/where/LL_lon;Attribute;real;TRUE;;OPERA_ODIM_v2.4.pdf,Section 4.3.2
/where/LL_lat;Attribute;real;TRUE;;OPERA_ODIM_v2.4.pdf,Section 4.3.2
/where/UL_lon;Attribute;real;TRUE;;OPERA_ODIM_v2.4.pdf,Section 4.3.2
/where/UL_lat;Attribute;real;TRUE;;OPERA_ODIM_v2.4.pdf,Section 4.3.2
/where/UR_lon;Attribute;real;TRUE;;OPERA_ODIM_v2.4.pdf,Section 4.3.2
/where/UR_lat;Attribute;real;TRUE;;OPERA_ODIM_v2.4.pdf,Section 4.3.2
/where/LR_lon;Attribute;real;TRUE;;OPERA_ODIM_v2.4.pdf,Section 4.3.2
/where/LR_lat;Attribute;real;TRUE;;OPERA_ODIM_v2.4.pdf,Section 4.3.2
.*how;Group;;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/task;Attribute;string;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/startepochs;Attribute;integer;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/endepochs;Attribute;integer;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/system;Attribute;string;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/software;Attribute;string;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/sw_version;Attribute;string;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/zr_a;Attribute;real;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/zr_b;Attribute;real;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/kr_a;Attribute;real;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/kr_b;Attribute;real;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/kr_b;Attribute;real;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/simulated;Attribute;string;FALSE;(True)?(False)?;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/NI;Attribute;real;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/pointaccEL;Attribute;real;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/pointaccAZ;Attribute;real;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/malfunc;Attribute;string;FALSE;(True)?(False)?;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/radar_msg;Attribute;string;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/radhoriz;Attribute;real;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/MDS;Attribute;real;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/OUR;Attribute;real;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/NEZ;Attribute;real;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/Dclutter;Attribute;string;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/comment;Attribute;string;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/SQI;Attribute;real;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/CSR;Attribute;real;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/LOG;Attribute;real;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/VPRCorr;Attribute;string;FALSE;(True)?(False)?;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/freeze;Attribute;real;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/min;Attribute;real;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/max;Attribute;real;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/step;Attribute;real;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/levels;Attribute;integer;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/peakpwr;Attribute;real;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/avgpwr;Attribute;real;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/dynrange;Attribute;real;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/RAC;Attribute;real;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/BBC;Attribute;string;FALSE;(True)?(False)?;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/PAC;Attribute;real;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/S2N;Attribute;string;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/polarization;Attribute;string;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/angles;Attribute;string;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/arotation;Attribute;string;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/camethod;Attribute;string;FALSE;NEAREST|INTERPOL|AVERAGE|RANDOM|MDE|LATEST|MAXIMUM|DOMAIN|VAD|VVP|RGA;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/nodes;Attribute;string;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
.*how/ACCnum;Attribute;string;FALSE;;OPERA_ODIM_v2.4.pdf,Section 4.4
/dataset[1-9][0-9]*;Group;;TRUE;;
/dataset[1-9][0-9]*(/data[1-9][0-9]*)?/what;Group;;TRUE;;OPERA_ODIM_v2.4.pdf,Section 4.5
/dataset[1-9][0-9]*(/data[1-9][0-9]*)?/what/product;Attribute;string;TRUE;PPI|CAPPI|PCAPPI|ETOP|MAX|RR|VIL|COMP|VP|RHI|XSEC|VSP|HSP|QUAL;OPERA_ODIM_v2.4.pdf,Section 4.5
/dataset[1-9][0-9]*(/data[1-9][0-9]*)?/what/prodpar;Attribute;string;FALSE;CAPPI|PPI|ETOP|VIL;OPERA_ODIM_v2.4.pdf,Section 4.5
/dataset[1-9][0-9]*(/data[1-9][0-9]*)?/what/startdate;Attribute;string;TRUE;[1-2][0-9]{3}[0-1][0-9][0-3][0-9];OPERA_ODIM_v2.4.pdf,Section 4.5
